filename,baseline_psnr,depth_psnr,diff
0350_0.85_0.12.jpg,21.26338,19.933235,-1.3301449
0351_0.95_0.16.jpg,18.897787,20.717201,1.8194141
0353_0.9_0.12.jpg,22.465117,23.194115,0.7289982
0354_0.9_0.08.jpg,23.828793,21.411074,-2.417719
0355_0.85_0.12.jpg,23.94724,23.624819,-0.32242203
0356_0.85_0.08.jpg,23.509209,20.360474,-3.148735
0357_0.95_0.12.jpg,20.10736,20.27774,0.17037964
0359_0.85_0.16.jpg,20.51113,18.709167,-1.8019619
0361_0.85_0.2.jpg,18.647696,22.73349,4.0857944
0362_0.95_0.08.jpg,22.959896,21.717384,-1.2425117
0364_0.85_0.12.jpg,22.030579,19.862026,-2.1685524
0366_0.9_0.16.jpg,21.093405,21.854074,0.7606697
0369_0.85_0.2.jpg,19.104994,22.400377,3.2953835
0371_0.9_0.08.jpg,22.8282,21.687689,-1.1405106
0372_0.85_0.12.jpg,19.684761,20.801651,1.11689
0375_0.85_0.16.jpg,18.227247,19.424135,1.196888
0380_0.85_0.2.jpg,13.7702,16.91013,3.1399298
0382_0.9_0.08.jpg,24.966505,22.493029,-2.4734764
0383_0.9_0.2.jpg,18.615944,20.198717,1.5827732
0385_0.8_0.08.jpg,22.675026,21.252947,-1.4220791
0386_1_0.12.jpg,20.346535,19.062263,-1.2842712
0388_0.95_0.16.jpg,17.376863,21.153381,3.7765179
0390_0.9_0.12.jpg,21.626665,21.525341,-0.10132408
0391_1_0.08.jpg,24.761965,23.107222,-1.6547432
0392_1_0.2.jpg,17.988432,19.763248,1.7748165
0393_1_0.2.jpg,20.191116,23.836594,3.6454773
0395_0.95_0.08.jpg,24.84645,22.129093,-2.7173576
0397_0.85_0.12.jpg,23.707264,21.562588,-2.1446762
0399_0.8_0.08.jpg,22.977398,23.690208,0.7128105
0400_0.9_0.12.jpg,20.530691,22.675323,2.1446323
0402_0.8_0.16.jpg,20.101988,19.53313,-0.5688572
0404_0.8_0.2.jpg,18.633701,22.025251,3.39155
0405_1_0.08.jpg,25.514389,22.709476,-2.8049126
0406_1_0.2.jpg,18.934729,22.90949,3.974762
0407_0.95_0.16.jpg,19.012249,24.165956,5.1537075
0409_1_0.12.jpg,21.047066,21.663082,0.6160164
0411_0.95_0.16.jpg,18.639364,20.471241,1.8318768
0413_0.95_0.2.jpg,16.259096,20.300053,4.0409565
1001_0.8_0.16.jpg,18.953262,22.19531,3.2420483
1002_1_0.16.jpg,20.93173,22.249065,1.3173351
1005_0.8_0.12.jpg,23.115124,19.64957,-3.4655533
1006_1_0.16.jpg,21.55823,27.05869,5.5004597
1007_0.95_0.08.jpg,23.724483,26.550167,2.8256836
1008_0.9_0.12.jpg,21.358341,23.796366,2.4380245
1009_0.85_0.12.jpg,22.071894,22.10231,0.030416489
1010_0.85_0.08.jpg,22.631329,21.718843,-0.9124851
1011_0.95_0.12.jpg,18.525673,20.840456,2.314783
1012_0.95_0.08.jpg,21.449806,21.067455,-0.38235092
1015_0.8_0.12.jpg,20.315372,19.958412,-0.3569603
1016_0.9_0.16.jpg,19.451515,22.66319,3.2116756
1018_0.85_0.12.jpg,23.222448,22.751692,-0.47075653
1020_0.95_0.08.jpg,24.591648,19.7945,-4.7971478
1022_0.85_0.12.jpg,23.02251,22.09076,-0.93175125
1027_0.8_0.08.jpg,22.124575,20.603056,-1.5215187
1030_0.95_0.12.jpg,18.343294,21.4592,3.1159058
1034_0.9_0.16.jpg,19.015888,23.498028,4.4821396
1037_0.8_0.12.jpg,22.818272,20.984306,-1.8339653
1038_1_0.16.jpg,22.487944,27.878838,5.390894
1040_1_0.2.jpg,17.365562,19.758223,2.3926601
1042_0.95_0.08.jpg,23.58033,22.050516,-1.5298138
1044_0.85_0.12.jpg,20.823595,23.45894,2.6353455
1046_0.9_0.16.jpg,15.896649,19.294868,3.398219
1048_0.9_0.2.jpg,14.278144,17.79659,3.518447
1050_0.8_0.08.jpg,22.758068,20.379618,-2.3784504
1051_1_0.12.jpg,22.325583,23.596176,1.2705936
1053_0.95_0.16.jpg,19.99244,21.686718,1.6942787
1055_0.95_0.2.jpg,16.442162,19.72967,3.287508
1057_0.95_0.16.jpg,19.12827,22.689457,3.5611877
1059_0.95_0.2.jpg,15.120679,17.226957,2.1062784
1060_0.85_0.16.jpg,20.201801,23.056885,2.8550835
1063_0.9_0.12.jpg,17.750525,20.868202,3.1176777
1709_0.95_0.08.jpg,22.119991,20.305643,-1.8143482
1712_0.8_0.08.jpg,22.406752,21.20016,-1.2065926
1713_1_0.08.jpg,24.465199,19.463963,-5.001236
1714_1_0.2.jpg,13.761747,16.29462,2.5328732
1716_0.95_0.12.jpg,20.97996,21.090939,0.11097908
1718_0.9_0.2.jpg,18.743795,18.635563,-0.1082325
1722_0.95_0.16.jpg,18.52613,21.992481,3.4663506
1724_0.95_0.2.jpg,16.400438,18.593515,2.193077
1726_0.85_0.12.jpg,22.830704,20.115423,-2.7152805
1728_0.9_0.12.jpg,22.251532,20.605015,-1.6465168
1730_0.85_0.08.jpg,21.732311,19.57668,-2.155632
1731_0.85_0.2.jpg,17.397259,19.129307,1.732048
1732_0.95_0.2.jpg,13.221092,15.847067,2.6259747
1734_1_0.08.jpg,24.641098,21.241615,-3.3994827
1736_0.8_0.08.jpg,21.96099,17.644154,-4.3168373
1738_1_0.2.jpg,14.911119,15.565599,0.65448
1741_0.85_0.16.jpg,18.12563,17.190104,-0.9355259
1742_0.85_0.12.jpg,22.25336,19.813171,-2.4401894
1743_0.85_0.08.jpg,23.44927,22.159712,-1.2895584
1744_0.85_0.08.jpg,21.165915,20.465881,-0.7000332
1747_0.8_0.16.jpg,17.236002,19.700586,2.4645844
1749_0.8_0.2.jpg,17.450735,18.954197,1.5034618
1753_0.9_0.08.jpg,23.32391,23.019745,-0.3041649
1756_0.9_0.12.jpg,20.986366,22.510794,1.5244274
1757_0.85_0.16.jpg,20.202236,20.665276,0.4630394
1759_0.8_0.12.jpg,20.261753,20.09797,-0.16378403
1760_1_0.16.jpg,20.158382,21.505392,1.3470097
1765_0.85_0.12.jpg,23.361164,20.727987,-2.6331768
1771_1_0.08.jpg,22.580149,20.408184,-2.1719646
1774_0.95_0.2.jpg,17.27126,19.44157,2.170311
1778_0.9_0.08.jpg,23.055601,20.690102,-2.3654995
1781_0.8_0.2.jpg,18.829395,20.214287,1.3848915
1784_0.8_0.08.jpg,21.573032,19.828735,-1.744297
1790_1_0.16.jpg,16.396355,18.107779,1.7114239
1800_1_0.16.jpg,20.066566,20.701456,0.6348896
1805_0.85_0.12.jpg,24.108507,21.521473,-2.5870342
1812_1_0.16.jpg,13.530455,13.290018,-0.24043655
1815_1_0.2.jpg,15.051119,17.666996,2.6158772
1818_0.85_0.12.jpg,21.471485,19.721968,-1.7495174
1821_0.8_0.08.jpg,21.960022,20.45557,-1.5044518
1822_1_0.08.jpg,22.657797,21.64164,-1.0161572
1824_0.95_0.08.jpg,23.182993,22.931618,-0.2513752
1826_0.9_0.08.jpg,21.194277,18.914509,-2.279768
1828_0.85_0.08.jpg,22.64616,20.816235,-1.8299255
1831_0.8_0.16.jpg,20.259611,17.087547,-3.1720638
